Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF","C_0805_2012Metric",25.000000,-44.000000,90.000000,top
"C2","10uF","C_0805_2012Metric",17.200000,-33.500000,180.000000,top
"C3","100nF","C_0805_2012Metric",9.300000,-24.500000,270.000000,top
"C4","10uF","C_0805_2012Metric",17.300000,-37.300000,90.000000,top
"C5","100nF","C_0805_2012Metric",5.000000,-44.000000,90.000000,top
"J1","Conn_01x02","JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal",24.600000,-37.400000,90.000000,top
"L1","HT7333-A","SOT-89-3",25.700000,-29.900000,0.000000,top
"Q1","AO3401A","SOT-23",20.100000,-28.200000,90.000000,top
"R1","10k","R_0805_2012Metric",11.300000,-24.500000,270.000000,top
"R2","10k","R_0805_2012Metric",27.000000,-44.000000,270.000000,top
"R3","10k","R_0805_2012Metric",15.100000,-24.500000,90.000000,top
"R4","10k","R_0805_2012Metric",3.000000,-44.000000,90.000000,top
"R5","10k","R_0805_2012Metric",13.200000,-24.500000,90.000000,top
"R6","33k","R_0805_2012Metric",18.900000,-24.500000,90.000000,top
"R7","10k","R_0805_2012Metric",17.000000,-24.500000,270.000000,top
"R8","10k","R_0805_2012Metric",21.200000,-24.500000,90.000000,top
